key,EN,JA,zh-Hans,zh-Hant,notes
acceptResponses,Accept responses,回答を受け付ける,接受回复,接收回覆,
acceptResponsesEnabled,People can submit responses to this form,このフォームに回答を送信できます,用户可以提交此表单的回复,用戶可以提交此表單的回覆,
acceptResponsesDisabled,This form is not accepting responses,このフォームは回答を受け付けていません,此表单目前不接受回复,此表單目前不接受回覆,
collectEmail,Collect email addresses,メールアドレスを収集,收集电子邮件地址,收集電子郵件地址,
collectEmailDesc,Choose how to collect responder emails,回答者のメールアドレスの収集方法を選択,选择收集回复者电子邮件的方式,選擇收集回覆者電子郵件的方式,
dontCollect,Don't collect,収集しない,不收集,不收集,
verified,Verified,確認済み,已验证,已驗證,
responderInput,Responder input,回答者の入力,回复者输入,回覆者輸入,
limitToOneResponse,Limit to 1 response,回答を 1 回に制限,限制为 1 次回复,限制為 1 次回覆,
limitToOneResponseDesc,Requires responders to sign in,回答者のログインが必要,需要回复者登录,需要回覆者登入,
editAfterSubmit,Edit after submit,送信後に編集,提交后可编辑,提交後可編輯,
editAfterSubmitDesc,Allow responders to edit their response after submission,回答者が送信後に回答を編集できるようにする,允许回复者在提交后编辑回复,允許回覆者在提交後編輯回覆,
showProgressBar,Show progress bar,プログレスバーを表示,显示进度条,顯示進度列,
showProgressBarDesc,Shows a progress bar at the bottom of the form,フォームの下部にプログレスバーを表示,在表单底部显示进度条,在表單底部顯示進度列,
shuffleQuestionOrder,Shuffle question order,質問の順序をシャッフルする,随机编排问题的顺序,隨機排列問題順序,
shuffleQuestionOrderDesc,Questions will appear in a different order for each responder,回答者ごとに質問の順序が異なります,每位回复者看到的问题顺序会不同,每位回覆者看到的問題順序會不同,
confirmationMessage,Confirmation message,確認メッセージ,确认消息,確認訊息,
confirmationMessageDesc,Message shown after form submission,フォーム送信後に表示されるメッセージ,表单提交后显示的消息,表單提交後顯示的訊息,
enterConfirmationMessage,Enter confirmation message,確認メッセージを入力,输入确认消息,輸入確認訊息,
defaultConfirmationMessage,Your response has been recorded.,回答を記録しました。,您的回复已记录。,你的回覆已記錄。,
addEditor,Add editor,編集者を追加,添加编辑者,新增編輯者,
gmailAddress,Gmail address,Gmail アドレス,Gmail 地址,Gmail 地址,
gmailHint,name@gmail.com,name@gmail.com,name@gmail.com,name@gmail.com,
enterGmail,Please enter a Gmail address.,Gmail アドレスを入力してください。,请输入 Gmail 地址。,請輸入 Gmail 地址。,
enterValidEmail,Please enter a valid email address.,有効なメールアドレスを入力してください。,请输入有效的电子邮件地址。,請輸入有效的電子郵件地址。,
removeEditorTitle,Remove editor?,編集者を削除しますか？,移除编辑者？,移除編輯者？,
removeEditorDesc,Remove {name} from this form? They will no longer be able to edit it.,{name} をこのフォームから削除しますか？編集できなくなります。,确定从此表单移除 {name}？对方将无法再编辑此表单。,確定從此表單移除 {name}？對方將無法再編輯此表單。,keep {name}
alreadyOwner,You are already the owner of this form.,あなたはすでにこのフォームのオーナーです。,您已经是此表单的所有者。,你已經是此表單的擁有者。,
alreadyOwnerOther,This user is already the owner of this form.,このユーザーはすでにこのフォームのオーナーです。,此用户已经是此表单的所有者。,此用戶已經是此表單的擁有者。,
alreadyEditor,This user is already an editor on this form.,このユーザーはすでにこのフォームの編集者です。,此用户已经是此表单的编辑者。,此用戶已經是此表單的編輯者。,
failedToAddEditor,Failed to add editor.,編集者を追加できませんでした。,无法添加编辑者。,無法新增編輯者。,
addedEditor,Added {email} as an editor.,{email} を編集者として追加しました。,已添加 {email} 为编辑者。,已新增 {email} 為編輯者。,keep {email}
cannotRemoveOwner,The owner cannot be removed.,オーナーは削除できません。,无法移除所有者。,無法移除擁有者。,
failedToRemoveEditor,Failed to remove editor.,編集者を削除できませんでした。,无法移除编辑者。,無法移除編輯者。,
removedEditor,Removed {name}.,{name} を削除しました。,已移除 {name}。,已移除 {name}。,keep {name}
noOwnerFound,No collaborators found for this form.,このフォームの共同編集者が見つかりません。,找不到此表单的协作者。,找不到此表單的協作者。,
noEditorsYet,No editors yet. Tap +Add to invite someone by Gmail.,編集者はまだいません。+追加 をタップして Gmail で招待してください。,还没有编辑者。点击 +添加 通过 Gmail 邀请他人。,還沒有編輯者。點擊 +新增 以透過 Gmail 邀請他人。,
noEditorsOnForm,No editors on this form.,このフォームに編集者はいません。,此表单没有编辑者。,此表單沒有編輯者。,
failedToLoadEditors,Failed to load editors.,編集者を読み込めませんでした。,无法加载编辑者。,無法載入編輯者。,
saveChangesTitle,Save changes?,変更を保存しますか？,保存更改？,儲存變更？,
breakingChangesDesc,"This change will affect existing responses: {desc}.

Do you want to continue?","この変更は既存の回答に影響します：{desc}。

続行しますか？","此更改将影响现有的回复：{desc}。

您要继续吗？","此變更將影響現有的回覆：{desc}。

你要繼續嗎？",keep {desc}
duplicateChoicesError,You can't have duplicated choices in a multiple choice question.,ラジオボタンの質問に重複した選択肢を設定することはできません。,单选题不能有重复的选项。,單選按鈕不能有重複的選項。,
invalidDataError,Invalid data. Please check your form and try again.,無効なデータです。フォームを確認してもう一度お試しください。,数据无效，请检查您的表单后重试。,資料無效，請檢查你的表單後再試一次。,
permissionDeniedError,Permission denied. Please check your Google account access.,権限が拒否されました。Google アカウントのアクセスを確認してください。,权限被拒绝，请检查您的 Google 账号权限。,權限被拒絕，請檢查你的 Google 帳戶權限。,
addAtLeastOneQuestion,Please add at least one question before saving.,保存する前に、少なくとも 1 つの質問を追加してください。,请在保存前添加至少一个问题。,請在儲存前新增至少一個問題。,
failedToUpdateForm,Failed to update form.,フォームを更新できませんでした。,无法更新表单。,無法更新表單。,
failedToLoadCurrentForm,Failed to load current form data. Please try again.,現在のフォームデータを読み込めませんでした。もう一度お試しください。,无法加载当前表单数据，请重试。,無法載入目前表單資料，請再試一次。,
couldNotLoadSettings,Could not load form settings: {error},フォーム設定を読み込めませんでした：{error},无法加载表单设置：{error},無法載入表單設定：{error},keep {error}
linkCopiedToClipboardExclaim,Link copied to clipboard!,リンクをクリップボードにコピーしました！,链接已复制到剪贴板！,連結已複製到剪貼簿！,
